Creature health;//name----------------------------------------------------------------------------
	0;//identifier
	0;//bar type, 0=normal, 1=show body temperature, 2=show number of items parameter0, 3=show wielded weapon ammo, 4=show armor, 5=show carry weight, 6=show seconds from game start
		0;//parameter0
	1;//visible (only applicable for player's bars)
	1;//visible on enemies
	1;//show number
	3;//anchor point (0=left top, 1=right top, 2=left bottom, 3=right bottom)
	-250;//location x, pixels from anchor point
	-10;//location y, pixels from anchor point
	bar.png;//bar picture
	none;//background picture
	0;//background picture x offset
	0;//background picture y offset
	0;//background picture width
	0;//background picture height
	0.7;//height    
	-200;//length in pixels for maximum (negative = bar increases to left)
	0.0;//red color component for minimum
	1;//green color component for minimum
	0.4;//blue color component for minimum
	0;//red color component for maximum
	1;//green color component for maximum
	0.4;//blue color component for maximum
	0;//handle moodlet
	-1;//pulse mode (-1: none, 0: min, 1: max, 2: both)
    none;//moodlet image
	begin_moodlet_breakpoints;
	end_moodlet_breakpoints;
Recommended daily Hydration;//name----------------------------------------------------------------------------
	1;//identifier
	0;//bar type, 0=normal, 1=show body temperature, 2=show number of items parameter0, 3=show wielded weapon ammo, 4=show armor, 5=show carry weight, 6=show seconds from game start
		0;//parameter0
	1;//visible (only applicable for player's bars)
	1;//visible on enemies
	1;//show number
	3;//anchor point (0=left top, 1=right top, 2=left bottom, 3=right bottom)
		-250;//location x, pixels from anchor point
		-60;//location y, pixels from anchor point
	bar.png;//bar picture
	none;//background picture
		0;//background picture x offset
		0;//background picture y offset
		0;//background picture width
		0;//background picture height
	0.7;//height    
	-200;//length in pixels for maximum (negative = bar increases to left)
	0.4;//red color component for minimum
	0.2;//green color component for minimum
	0.8;//blue color component for minimum
	0.1;//red color component for maximum
	0.6;//green color component for maximum
	0.9;//blue color component for maximum
	1;//handle moodlet
	0;//pulse mode (-1: none, 0: min, 1: max, 2: both)
    liquid.png;//moodlet image
  begin_moodlet_breakpoints;
  Critical Dehydration;//name
        -0.25;//Breakpoint
        1;//Visible
        0.0;//red (Black)
        0.0;//green
        0.0;//blue
    Dehydrated;//name
        0.0;//Breakpoint
        1;//Visible
        1.0;//red (Intense Red)
        0.0;//green
        0.0;//blue
    Parched;//name
        0.3;//Breakpoint
        1;//Visible
        1.0;//red
        0.3;//green
        0.3;//blue
    Thirsty;//name
        0.45;//Breakpoint
        1;//Visible
        1.0;//red
        0.5;//green
        0.5;//blue
    Slightly Dry;//name
        0.6;//Breakpoint
        1;//Visible
        1.0;//red
        0.7;//green
        0.7;//blue
    Refreshed;//name
        0.7;//Breakpoint (Very Light Red)
        0;//Visible
        1.0;//red 
        0.85;//green
        0.85;//blue
    Quenched;//name
        1.0;//Breakpoint (Very Light Green)
        1;//Visible
        0.85;//red
        1.0;//green
        0.85;//blue
    Well-hydrated;//name
        1.25;//Breakpoint
        1;//Visible
        0.0;//red
        0.7;//green
        0.0;//blue
    Overhydrated;//name
        1.5;//Breakpoint (Dark Greenish)
        1;//Visible
        0.0;//red
        0.35;//green
        0.1;//blue
  end_moodlet_breakpoints;
Activity;//name----------------------------------------------------------------------------
	2;//identifier
	0;//bar type, 0=normal, 1=show body temperature, 2=show number of items parameter0, 3=show wielded weapon ammo, 4=show armor, 5=show carry weight, 6=show seconds from game start
	0;//parameter0
	0;//visible (only applicable for player's bars)  
	1;//visible on enemies
	1;//show number
	3;//anchor point (0=left top, 1=right top, 2=left bottom, 3=right bottom)
		-40;//location x, pixels from anchor point
		-247;//location y, pixels from anchor point
	bar.png;//bar picture
	none;//background picture
		0;//background picture x offset
		0;//background picture y offset
		0;//background picture width
		0;//background picture height
	1;//height    
	-180;//length in pixels for maximum (negative = bar increases to left)
	0.3;//red color component for minimum
	0.4;//green color component for minimum
	0.5;//blue color component for minimum
	0.6;//red color component for maximum
	0.7;//green color component for maximum
	0.8;//blue color component for maximum	
	0;//handle moodlet
	-1;//pulse mode (-1: none, 0: min, 1: max, 2: both)
    none;//moodlet image
	begin_moodlet_breakpoints;
	end_moodlet_breakpoints;
Stomach fullness;//name----------------------------------------------------------------------------
	3;//identifier
	0;//bar type, 0=normal, 1=show body temperature, 2=show number of items parameter0, 3=show wielded weapon ammo, 4=show armor, 5=show carry weight, 6=show seconds from game start
	0;//parameter0
	1;//visible (only applicable for player's bars)  
	1;//visible on enemies
	1;//show number
	3;//anchor point (0=left top, 1=right top, 2=left bottom, 3=right bottom)
		-250;//location x, pixels from anchor point
		-50;//location y, pixels from anchor point
	bar.png;//bar picture
	none;//background picture
		0;//background picture x offset
		0;//background picture y offset
		0;//background picture width
		0;//background picture height
	0.5;//height    
	-180;//length in pixels for maximum (negative = bar increases to left)
	0.2;//red color component for minimum
	0.7;//green color component for minimum
	0.2;//blue color component for minimum
	0.6;//red color component for maximum
	0.7;//green color component for maximum
	0.2;//blue color component for maximum
	1;//handle moodlet
	1;//pulse mode (-1: none, 0: min, 1: max, 2: both)
    devour.png;//moodlet image
	begin_moodlet_breakpoints;
		No description;//name
			0.0;// Threshold
			0;// Visible: NO (Good/Normal state)
			0.0;// R
			1.0;// G
			0.0;// B
		Slightly Full;//name
			0.25;// Threshold
			1;// Visible: YES
			0.0;// R: Green
			1.0;// G
			0.0;// B
		Full Stomach;//name
			0.5;// Threshold
			1;// Visible: YES
			1.0;// R
			0.8;// G
			0.0;// B
		Stuffed;//name
			0.75;// Threshold
			1;// Visible: YES
			1.0;// R
			0.0;// G
			0.0;// B
		You ate too much;//name
			1.0;// Threshold
			1;// Visible: YES
			0.5;// R: Dark Red
			0.0;// G
			0.0;// B
	end_moodlet_breakpoints;
Wellness;//name----------------------------------------------------------------------------
	4;//identifier
	0;//bar type, 0=normal, 1=show body temperature, 2=show number of items parameter0, 3=show wielded weapon ammo, 4=show armor, 5=show carry weight, 6=show seconds from game start
	0;//parameter0
	1;//visible (only applicable for player's bars)  
	1;//visible on enemies
	1;//show number
	3;//anchor point (0=left top, 1=right top, 2=left bottom, 3=right bottom)
		-250;//location x, pixels from anchor point
		-70;//location y, pixels from anchor point
	bar.png;//bar picture
	none;//background picture
		0;//background picture x offset
		0;//background picture y offset
		0;//background picture width
		0;//background picture height
	0.5;//height    
	-180;//length in pixels for maximum (negative = bar increases to left)
	1;//red color component for minimum
	0.2;//green color component for minimum
	0.2;//blue color component for minimum
	0.2;//red color component for maximum
	0.7;//green color component for maximum
	0.2;//blue color component for maximum
	0;//handle moodlet
	-1;//pulse mode (-1: none, 0: min, 1: max, 2: both)
    none;//moodlet image
	begin_moodlet_breakpoints
	end_moodlet_breakpoints;
Recommended daily Nutrition;//name----------------------------------------------------------------------------
	5;//identifier
